short_name_chr,long_name_chr
Orygen,"""Orygen, Parkville, Australia"""
Monash,"""School of Public Health and Preventive Medicine, Monash University, Clayton, Australia"""
CYMH,"""Centre for Youth Mental Health; The University of Melbourne, Parkville, Australia"""
LaTrobe,"""Department of Occupational Therapy and Social Work and Social Policy, La Trobe University, Bundoora, Australia"""
Berry,"""Berry Street Victoria, Take Two, Research and Evaluation, Eaglemont, Australia"""
Headspace,"""headspace National Youth Mental Health Foundation, Melbourne, Australia"""
Sydney,"""Brain and Mind Centre, Youth Mental Health & Technology, Faculty of Medicine & Health, The University of Sydney,  Australia"""
Deakin,"""Deakin Health Economics, Institute for Health Transformation, Deakin University, Geelong,  Australia"""
Canberra,"""Faculty of Health, University of Canberra, Australia"""
HF,"""Heart Foundation, Melbourne, Australia"""
VU,"""Institute for Health and Sport, Victoria University, Footscray, Australia"""
Flinders,"""Flinders Health and Medical Research Institute, Flinders University, Adelaide, Australia"""
NUIG,"""National University of Ireland Galway, Ireland"""
